stt,name,price,other
39,Pokémon™ Violet,Chưa có,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Online Play , Nintendo Switch , Nintendo , GAME FREAK inc. , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , November 18, 2022"
40,Pokémon™ Scarlet,$59.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Online Play , Nintendo Switch , Nintendo , GAME FREAK inc. , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , November 18, 2022"
41,Chưa có,Chưa có,Chưa có
42,Splatoon™ 3,Chưa có,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 9.9 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Shooting , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Traditional Chinese, American English , September 9, 2022"
43,Kirby’s Dream Buffet™,Chưa có,"Nintendo Switch: 1.2 GB , Nintendo Switch 2: 1.2 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Online (1-4) , Supported , Action , Racing , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , HAL Laboratory, Inc. , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , August 17, 2022"
44,Xenoblade Chronicles™ 3,Chưa có,"Nintendo Switch: 14.4 GB , Nintendo Switch 2: 14.4 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Role playing , Save Data Cloud , Nintendo Switch , Nintendo , MONOLITHSOFT , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese , July 29, 2022"
45,LIVE A LIVE,$49.99,"Nintendo Switch: 4.7 GB , Nintendo Switch 2: 4.7 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Save Data Cloud , Nintendo Switch , Nintendo , SQUARE ENIX , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , July 22, 2022"
46,Fire Emblem Warriors: Three Hopes,Chưa có,"Nintendo Switch: 13.5 GB , Nintendo Switch 2: 13.5 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Strategy , Save Data Cloud , Nintendo Switch , Nintendo , KOEI TECMO GAMES , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English , June 24, 2022"
47,Mario Strikers™: Battle League,$59.99,"Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.8 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-8) , Online (1-8) , Supported , Action , Sports , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Nintendo / Next Level Games , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English , June 10, 2022"
48,Nintendo Switch™ Sports,$39.99,"Nintendo Switch: 3.2 GB , Nintendo Switch 2: 3.2 GB , TV mode , Tabletop mode , Single System (1-4) , Online (1-2) , Supported , Action , Party , Sports , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , April 29, 2022"
