stt,name,price,size,support,of_players,genre,system,publisher,developer,languages,release_date
44,The Legend of Zelda™: Tears of the Kingdom,$69.99,"Nintendo Switch: 16.5 GB , Nintendo Switch 2: 16.6 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","May 12, 2023"
45,Advance Wars™ 1+2: Re-Boot Camp,$59.99,"Nintendo Switch: 6.7 GB , Nintendo Switch 2: 6.7 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-2)",Chưa có,Nintendo Switch,Nintendo,Nintendo,"British English, French, German, Italian, Spanish, Dutch, Latin American Spanish, Canadian French, American English","April 21, 2023"
46,Bayonetta Origins: Cereza and the Lost Demon™,$59.99,"Nintendo Switch: 3.2 GB , Nintendo Switch 2: 3.2 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Russian, Simplified Chinese, Traditional Chinese","March 17, 2023"
47,Kirby’s Return to Dream Land™ Deluxe,$59.99,"Nintendo Switch: 5 GB , Nintendo Switch 2: 5 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-)",Action,Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","February 24, 2023"
48,Metroid Prime™ Remastered,$39.99,"Nintendo Switch: 6.8 GB , Nintendo Switch 2: 6.8 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure , Shooting",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","February 8, 2023"
49,Game Boy™ Advance – Nintendo Classics,$0.00,"Nintendo Switch: 485 MB , Nintendo Switch 2: 485 MB","TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch,Nintendo,Chưa có,"British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, American English","February 8, 2023"
50,Game Boy™ – Nintendo Switch Online,$0.00,"Nintendo Switch: 146 MB , Nintendo Switch 2: 146 MB","TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch,Nintendo,Chưa có,"British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, American English","February 8, 2023"
51,Fire Emblem™ Engage,$59.99,"Nintendo Switch: 16.6 GB , Nintendo Switch 2: 16.6 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Role playing , Strategy",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English","January 20, 2023"
52,Pokémon™ Scarlet and Pokémon™ Violet Double Pack,$59.99,Chưa có,Chưa có,Chưa có,Role playing,Nintendo Switch,Nintendo,Chưa có,Chưa có,"November 18, 2022"
53,Pokémon™ Violet,$59.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","November 18, 2022"
